age,policy_number,policy_start_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,gender,insured_education_level,insured_occupation,,insured_relationship,,incident_date,incident_type,collision_type,incident_severity,incident_state,incident_city,number_of_vehicles_involved,property_damage,total_claim_amount,injury_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported
48,521585,17/10/2014,OH,250/500,1000,1406.91,0,MALE,MD,craft-repair,,husband,,25/01/2015,Single Vehicle Collision,Side Collision,Major Damage,SC,Columbus,1,YES,71610,6510,52080,Saab,92x,2004,Y
42,342868,27/06/2006,IN,250/500,2000,1197.22,5000000,MALE,MD,machine-op-inspct,,other-relative,,21/01/2015,Vehicle Theft,?,Minor Damage,VA,Riverwood,1,?,5070,780,3510,Mercedes,E400,2007,Y
29,687698,06/09/2000,OH,100/300,2000,1413.14,5000000,FEMALE,PhD,sales,,own-child,,22/02/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,NY,Columbus,3,NO,34650,7700,23100,Dodge,RAM,2007,N
41,227811,25/05/1990,IL,250/500,2000,1415.74,6000000,FEMALE,PhD,armed-forces,,unmarried,,10/01/2015,Single Vehicle Collision,Front Collision,Major Damage,OH,Arlington,1,?,63400,6340,50720,Chevrolet,Tahoe,2014,Y
44,367455,06/06/2014,IL,500/1000,1000,1583.91,6000000,MALE,Associate,sales,,unmarried,,17/02/2015,Vehicle Theft,?,Minor Damage,NY,Arlington,1,NO,6500,1300,4550,Accura,RSX,2009,N
39,104594,12/10/2006,OH,250/500,1000,1351.1,0,FEMALE,PhD,tech-support,,unmarried,,02/01/2015,Multi-vehicle Collision,Rear Collision,Major Damage,SC,Arlington,3,NO,64100,6410,51280,Saab,95,2003,Y
34,413978,04/06/2000,IN,250/500,1000,1333.35,0,MALE,PhD,prof-specialty,,husband,,13/01/2015,Multi-vehicle Collision,Front Collision,Minor Damage,NY,Springfield,3,?,78650,21450,50050,Nissan,Pathfinder,2012,N
37,429027,03/02/1990,IL,100/300,1000,1137.03,0,MALE,Associate,tech-support,,unmarried,,27/02/2015,Multi-vehicle Collision,Front Collision,Total Loss,VA,Columbus,3,?,51590,9380,32830,Audi,A5,2015,N
33,485665,05/02/1997,IL,100/300,500,1442.99,0,FEMALE,PhD,other-service,,own-child,,30/01/2015,Single Vehicle Collision,Front Collision,Total Loss,WV,Arlington,1,NO,27700,2770,22160,Toyota,Camry,2012,N
42,636550,25/07/2011,IL,100/300,500,1315.68,0,MALE,PhD,priv-house-serv,,wife,,05/01/2015,Single Vehicle Collision,Rear Collision,Total Loss,NC,Hillsdale,1,NO,42300,4700,32900,Saab,92x,1996,N
42,543610,26/05/2002,OH,100/300,500,1253.12,4000000,FEMALE,Masters,exec-managerial,,other-relative,,06/01/2015,Single Vehicle Collision,Front Collision,Total Loss,NY,Northbend,1,YES,87010,7910,63280,Ford,F150,2002,N
61,214618,29/05/1999,OH,100/300,2000,1137.16,0,FEMALE,High School,exec-managerial,,other-relative,,15/02/2015,Multi-vehicle Collision,Front Collision,Major Damage,SC,Springfield,3,YES,114920,17680,79560,Audi,A3,2006,N
23,842643,20/11/1997,OH,500/1000,500,1215.36,3000000,MALE,MD,protective-serv,,wife,,22/01/2015,Single Vehicle Collision,Rear Collision,Total Loss,SC,Northbend,1,YES,56520,4710,42390,Saab,95,2000,N
34,626808,26/10/2012,OH,100/300,1000,936.61,0,FEMALE,MD,armed-forces,,wife,,08/01/2015,Parked Car,?,Minor Damage,SC,Springfield,1,NO,7280,1120,5040,Toyota,Highlander,2010,N
38,644081,28/12/1998,OH,250/500,2000,1301.13,0,FEMALE,College,machine-op-inspct,,not-in-family,,15/01/2015,Single Vehicle Collision,Rear Collision,Total Loss,SC,Springfield,1,NO,46200,4200,33600,Dodge,Neon,2003,Y
58,892874,19/10/1992,IN,100/300,2000,1131.4,0,FEMALE,MD,transport-moving,,other-relative,,29/01/2015,Multi-vehicle Collision,Side Collision,Major Damage,WV,Hillsdale,4,YES,63120,10520,42080,Accura,MDX,1999,Y
26,558938,08/06/2005,OH,500/1000,1000,1199.44,5000000,MALE,College,machine-op-inspct,,own-child,,22/02/2015,Multi-vehicle Collision,Rear Collision,Major Damage,NY,Riverwood,3,?,52110,5790,40530,Nissan,Maxima,2012,N
31,275265,15/11/2004,IN,500/1000,500,708.64,6000000,MALE,High School,machine-op-inspct,,unmarried,,06/01/2015,Single Vehicle Collision,Side Collision,Total Loss,WV,Northbend,1,NO,77880,14160,56640,Suburu,Legacy,2015,N
37,921202,28/12/2014,OH,500/1000,500,1374.22,0,FEMALE,MD,craft-repair,,other-relative,,19/01/2015,Single Vehicle Collision,Side Collision,Total Loss,NY,Northbrook,1,YES,72930,6630,53040,Accura,TL,2015,N
